"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","mode","mode_name","type_of_service","mode_voms","major_mechanical_failures","major_mechanical_failures_1","other_mechanical_failures","other_mechanical_failures_1","total_mechanical_failures","total_mechanical_failures_1","vehicle_passenger_car_miles","vehicle_passenger_car_miles_1","vehicle_passenger_car_revenue","vehicle_passenger_car_miles_2","train_miles","train_miles_questionable","train_revenue_miles","train_revenue_miles_1"
"City of Springfield, dba: City Utilities of Springfield MO","Springfield","MO","70003","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","83953","Springfield, MO","282651","22","DR","Demand Response","DO","4","3",,"13",,"16",,"157713",,"141875",,"0",,"0",
"City of Springfield, dba: City Utilities of Springfield MO","Springfield","MO","70003","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","83953","Springfield, MO","282651","22","MB","Bus","DO","18","109",,"307",,"416",,"1089476",,"1088235",,"0",,"0",
"City and County of Honolulu","Honolulu","HI","90002","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","39889","Honolulu, HI","853252","688","DR","Demand Response","PT","193","597",,"705",,"1302",,"8344473",,"6755487",,"0",,"0",
"City and County of Honolulu","Honolulu","HI","90002","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","39889","Honolulu, HI","853252","688","MB","Bus","PT","382","1652",,"2499",,"4151",,"20551617",,"17599253",,"0",,"0",
"City and County of Honolulu","Honolulu","HI","90002","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","39889","Honolulu, HI","853252","688","HR","Heavy Rail","PT","20","0",,"1",,"1",,"5432",,"2558",,"1358",,"640",
"City of Alexandria , dba: DASH","Alexandria","VA","30071","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","92242","Washington--Arlington, DC--VA--MD","5174759","92","MB","Bus","DO","75","3626",,"124",,"3750",,"2960622",,"2645300",,"0",,"0",
"City of Alexandria , dba: DASH","Alexandria","VA","30071","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","92242","Washington--Arlington, DC--VA--MD","5174759","92","DR","Demand Response","PT","17","5",,"3",,"8",,"327964",,"249850",,"0",,"0",
"City of Appleton, dba: Valley Transit","Appleton","WI","50001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","2764","Appleton, WI","230967","47","DR","Demand Response","PT","25","5",,"7",,"12",,"864616",,"783075",,"0",,"0",
"City of Appleton, dba: Valley Transit","Appleton","WI","50001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","2764","Appleton, WI","230967","47","MB","Bus","DO","21","42",,"52",,"94",,"862105",,"833392",,"0",,"0",
"City of Appleton, dba: Valley Transit","Appleton","WI","50001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","2764","Appleton, WI","230967","47","MB","Bus","PT","1","1",,"1",,"2",,"6282",,"5882",,"0",,"0",
"City of Brownsville , dba: Brownsville Metro","Brownsville","TX","60014","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","10972","Brownsville, TX","216444","26","DR","Demand Response","DO","8","10",,"23",,"33",,"156096",,"138494",,"0",,"0",
"City of Brownsville , dba: Brownsville Metro","Brownsville","TX","60014","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","10972","Brownsville, TX","216444","26","MB","Bus","DO","18","32",,"74",,"106",,"870744",,"820133",,"0",,"0",
"City of Commerce, dba: City of Commerce Transit","Commerce","CA","90043","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","14","DR","Demand Response","DO","4","0",,"2",,"2",,"73105",,"70804",,"0",,"0",
"City of Commerce, dba: City of Commerce Transit","Commerce","CA","90043","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","14","MB","Bus","DO","10","0",,"5",,"5",,"475862",,"466316",,"0",,"0",
"City of Detroit , dba: Detroit Department of Transportation","Detroit","MI","50119","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","23824","Detroit, MI","3776890","227","DR","Demand Response","PT","75","8",,"0",,"8",,"2813094",,"2569649",,"0",,"0",
"City of Detroit , dba: Detroit Department of Transportation","Detroit","MI","50119","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","23824","Detroit, MI","3776890","227","MB","Bus","DO","152","802",,"3240",,"4042",,"10141746",,"9031965",,"0",,"0",
"City of Fairfax, dba: CUE Bus","Fairfax","VA","30058","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","92242","Washington--Arlington, DC--VA--MD","5174759","8","MB","Bus","DO","8","98",,"9",,"107",,"448733",,"434730",,"0",,"0",
"City of Fairfield, California, dba: FAST Transit","Fairfield","CA","90092","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","28657","Fairfield, CA","150122","26","DR","Demand Response","PT","5","3",,"5",,"8",,"104985",,"94892",,"0",,"0",
"City of Fairfield, California, dba: FAST Transit","Fairfield","CA","90092","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","28657","Fairfield, CA","150122","26","MB","Bus","PT","13","69",,"17",,"86",,"504803",,"473294",,"0",,"0",
"City of Fairfield, California, dba: FAST Transit","Fairfield","CA","90092","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","28657","Fairfield, CA","150122","26","CB","Commuter Bus","PT","8","8",,"5",,"13",,"66300",,"58495",,"0",,"0",
"City of Gardena, dba: GTrans","Gardena","CA","90042","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","29","DR","Demand Response","DO","4","0",,"1",,"1",,"45979",,"39371",,"0",,"0",
"City of Gardena, dba: GTrans","Gardena","CA","90042","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","29","MB","Bus","DO","25","47",,"231",,"278",,"1214284",,"1188075",,"0",,"0",
"City of Glendale","Glendale","AZ","90034","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","69184","Phoenix--Mesa--Scottsdale, AZ","3976313","18","DR","Demand Response","DO","15","23",,"22",,"45",,"252382",,"228361",,"0",,"0",
"City of Glendale","Glendale","AZ","90034","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","69184","Phoenix--Mesa--Scottsdale, AZ","3976313","18","MB","Bus","DO","3","22",,"29",,"51",,"92862",,"89083",,"0",,"0",
"City of Huntsville, Alabama, dba: Huntsville Transit","Huntsville","AL","40071","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","40780","Huntsville, AL","329066","35","DR","Demand Response","DO","19","27",,"7",,"34",,"620302",,"537250",,"0",,"0",
"City of Huntsville, Alabama, dba: Huntsville Transit","Huntsville","AL","40071","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","40780","Huntsville, AL","329066","35","MB","Bus","DO","16","40",,"26",,"66",,"798424",,"795887",,"0",,"0",
"City of Jackson, MS","Jackson","MS","40015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","42211","Jackson, MS","347693","32","DR","Demand Response","PT","18","3",,"51",,"54",,"379589",,"328004",,"0",,"0",
"City of Jackson, MS","Jackson","MS","40015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","42211","Jackson, MS","347693","32","MB","Bus","PT","14","10",,"113",,"123",,"694871",,"675196",,"0",,"0",
"City of Jackson Transportation Authority, dba: Jackson Area Transportation Authority","Jackson","MI","50034","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","42157","Jackson, MI","84307","18","DR","Demand Response","DO","9","2",,"7",,"9",,"255923",,"225261",,"0",,"0",
"City of Jackson Transportation Authority, dba: Jackson Area Transportation Authority","Jackson","MI","50034","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","42157","Jackson, MI","84307","18","MB","Bus","DO","9","26",,"52",,"78",,"336426",,"323925",,"0",,"0",
"City of Kokomo","Kokomo","IN","50145","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","45694","Kokomo, IN","62576","31","DR","Demand Response","DO","26","3",,"2",,"5",,"392498",,"346350",,"0",,"0",
"City of Kokomo","Kokomo","IN","50145","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","45694","Kokomo, IN","62576","31","MB","Bus","DO","5","1",,"0",,"1",,"175858",,"168128",,"0",,"0",
"City of La Mirada , dba: La Mirada Transit","La Mirada","CA","90024","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","5","DR","Demand Response","PT","5","7",,"1",,"8",,"63588",,"56692",,"0",,"0",
"Lafayette City-Parish Consolidated Government, dba: Lafayette Transit System","Lafayette","LA","60038","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","46045","Lafayette, LA","227316","19","DR","Demand Response","PT","8","4",,"7",,"11",,"259621",,"250450",,"0",,"0",
"Lafayette City-Parish Consolidated Government, dba: Lafayette Transit System","Lafayette","LA","60038","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","46045","Lafayette, LA","227316","19","MB","Bus","DO","11","49",,"351",,"400",,"819885","W","752581","W","0",,"0",
"City of Long Beach","Long Beach","NY","20006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","7","DR","Demand Response","DO","2","0",,"0",,"0",,"9226",,"8531",,"0",,"0",
"City of Long Beach","Long Beach","NY","20006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","7","MB","Bus","DO","5","0",,"1",,"1",,"231872",,"224138",,"0",,"0",
"City of Los Angeles","Los Angeles","CA","90147","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","370","DR","Demand Response","PT","87","0",,"2",,"2",,"887510",,"672585",,"0",,"0",
"City of Los Angeles","Los Angeles","CA","90147","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","370","MB","Bus","PT","180","53",,"1067",,"1120",,"7892131",,"6969904",,"0",,"0",
"City of Los Angeles","Los Angeles","CA","90147","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","370","CB","Commuter Bus","PT","94","11",,"112",,"123",,"4808282",,"2519412",,"0",,"0",
"City of Moorhead, dba: MATBUS","Moorhead","MN","50026","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","29089","Fargo, ND--MN","216214","11","DR","Demand Response","PT","3","0",,"2",,"2",,"83400",,"75133",,"0",,"0",
"City of Moorhead, dba: MATBUS","Moorhead","MN","50026","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","29089","Fargo, ND--MN","216214","11","MB","Bus","PT","8","15",,"20",,"35",,"452532",,"434401",,"0",,"0",
"Napa Valley Transportation Authority","Napa","CA","90088","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","61057","Napa, CA","84619","44","DR","Demand Response","PT","19","2",,"9",,"11",,"356936",,"258397",,"0",,"0",
"Napa Valley Transportation Authority","Napa","CA","90088","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","61057","Napa, CA","84619","44","MB","Bus","PT","16","19",,"10",,"29",,"744519",,"703324",,"0",,"0",
"Napa Valley Transportation Authority","Napa","CA","90088","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","61057","Napa, CA","84619","44","CB","Commuter Bus","PT","9","12",,"20",,"32",,"408726",,"383593",,"0",,"0",
"City of Phoenix, dba: Valley Metro","Phoenix","AZ","90032","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","69184","Phoenix--Mesa--Scottsdale, AZ","3976313","549","DR","Demand Response","PT","110","127",,"99",,"226",,"3873101",,"3206856",,"0",,"0",
"City of Phoenix, dba: Valley Metro","Phoenix","AZ","90032","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","69184","Phoenix--Mesa--Scottsdale, AZ","3976313","549","MB","Bus","PT","439","1388",,"117",,"1505",,"24189670",,"20022519",,"0",,"0",
"City of Riverside, dba: Riverside Connect","Riverside","CA","90086","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","75340","Riverside--San Bernardino, CA","2276703","18","DR","Demand Response","DO","18","4",,"8",,"12",,"422951",,"375059",,"0",,"0",
"City of Rochester, Minnesota, dba: Rochester Public Transit","Rochester","MN","50092","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","75637","Rochester, MN","121587","55","DR","Demand Response","PT","9","2",,"30",,"32",,"326020",,"281822",,"0",,"0",
"City of Rochester, Minnesota, dba: Rochester Public Transit","Rochester","MN","50092","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","75637","Rochester, MN","121587","55","MB","Bus","PT","42","11",,"202",,"213",,"1641983",,"1500188",,"0",,"0",
"City of Rome","Rome","GA","40058","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","76204","Rome, GA","60403","12","DR","Demand Response","DO","6","2",,"1",,"3",,"104425",,"95311",,"0",,"0",
"City of Rome","Rome","GA","40058","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","76204","Rome, GA","60403","12","MB","Bus","DO","6","20",,"30",,"50",,"270596",,"262847",,"0",,"0",
"City of San Luis Obispo, dba: SLO Transit","San Luis Obispo","CA","90156","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","79147","San Luis Obispo, CA","56904","15","MB","Bus","PT","15","135",,"2",,"137",,"332410",,"312796",,"0",,"0",
"City of Santa Rosa, dba: Santa Rosa CityBus","Santa Rosa","CA","90017","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","79498","Santa Rosa, CA","297329","29","DR","Demand Response","PT","10","8",,"0",,"8",,"172280",,"157273",,"0",,"0",
"City of Santa Rosa, dba: Santa Rosa CityBus","Santa Rosa","CA","90017","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","79498","Santa Rosa, CA","297329","29","MB","Bus","DO","18","58",,"15",,"73",,"788148",,"761911",,"0",,"0",
"City of Santa Rosa, dba: Santa Rosa CityBus","Santa Rosa","CA","90017","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","79498","Santa Rosa, CA","297329","29","MB","Bus","PT","1","1",,"0",,"1",,"25572",,"20558",,"0",,"0",
"City of Scottsdale , dba: Scottsdale Trolley","Scottsdale","AZ","90131","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","69184","Phoenix--Mesa--Scottsdale, AZ","3976313","12","MB","Bus","PT","12","4",,"32",,"36",,"601290",,"564295",,"0",,"0",
"City of Seattle, dba: Seattle Center Monorail","Seattle","WA","00023","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","80389","Seattle--Tacoma, WA","3544011","8","MG","Monorail/Automated Guideway","PT","8","28",,"1",,"29",,"227127",,"227127",,"56782",,"56782",
"City of Tallahassee","Tallahassee","FL","40036","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","86464","Tallahassee, FL","252934","128","DR","Demand Response","DO","13","20",,"67",,"87",,"243215",,"184566",,"0",,"0",
"City of Tallahassee","Tallahassee","FL","40036","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","86464","Tallahassee, FL","252934","128","MB","Bus","DO","55","50",,"540",,"590",,"1963533",,"1889745",,"0",,"0",
"City of Tallahassee","Tallahassee","FL","40036","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","86464","Tallahassee, FL","252934","128","DR","Demand Response","PT","21","8",,"4",,"12",,"369783",,"222811",,"0",,"0",
"City of Tallahassee","Tallahassee","FL","40036","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","86464","Tallahassee, FL","252934","128","MB","Bus","PT","2","1",,"1",,"2",,"62231",,"46991",,"0",,"0",
"City of Torrance, dba: Torrance Transit System","Torrance","CA","90010","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","74","MB","Bus","DO","38","127",,"223",,"350",,"1352998",,"1310986",,"0",,"0",
"City of Tucson, dba: Sun Tran","Tucson","AZ","90033","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","88732","Tucson, AZ","875441","267","MB","Bus","PT","155","650",,"925",,"1575",,"8188462",,"7354094",,"0",,"0",
"City of Tucson, dba: Sun Tran","Tucson","AZ","90033","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","88732","Tucson, AZ","875441","267","DR","Demand Response","PT","106","83",,"3",,"86",,"3968237",,"3376226",,"0",,"0",
"City of Tucson, dba: Sun Tran","Tucson","AZ","90033","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","88732","Tucson, AZ","875441","267","SR","Streetcar Rail","PT","6","7",,"34",,"41",,"195258",,"192338",,"195258",,"192338",
"City of Visalia  , dba: Visalia Transit","Visalia","CA","90091","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","90946","Visalia, CA","160578","37","DR","Demand Response","PT","8","8",,"3",,"11",,"194224",,"155353",,"0",,"0",
"City of Visalia  , dba: Visalia Transit","Visalia","CA","90091","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","90946","Visalia, CA","160578","37","MB","Bus","PT","26","44",,"24",,"68",,"1792249",,"1755381",,"0",,"0",
"City of Visalia  , dba: Visalia Transit","Visalia","CA","90091","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","90946","Visalia, CA","160578","37","CB","Commuter Bus","PT","3","4",,"1",,"5",,"290835",,"286801",,"0",,"0",
"Clark County Public Transportation Benefit Area Authority, dba: C-TRAN","Vancouver","WA","00024","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","71317","Portland, OR--WA","2104238","161","DR","Demand Response","DO","51","71",,"14",,"85",,"1887463",,"1698363",,"0",,"0",
"Clark County Public Transportation Benefit Area Authority, dba: C-TRAN","Vancouver","WA","00024","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","71317","Portland, OR--WA","2104238","161","MB","Bus","DO","95","392",,"110",,"502",,"4369649",,"3864726",,"0",,"0",
"Clark County Public Transportation Benefit Area Authority, dba: C-TRAN","Vancouver","WA","00024","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","71317","Portland, OR--WA","2104238","161","VP","Vanpool","DO","15","10",,"0",,"10",,"178901",,"178901",,"0",,"0",
"Cobb County, dba: CobbLinc","Marietta","GA","40078","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","3817","Atlanta, GA","5100112","78","DR","Demand Response","PT","15","15",,"16",,"31",,"461402",,"397398",,"0",,"0",
"Cobb County, dba: CobbLinc","Marietta","GA","40078","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","3817","Atlanta, GA","5100112","78","MB","Bus","PT","53","118",,"80",,"198",,"3342951",,"3089963",,"0",,"0",
"Cobb County, dba: CobbLinc","Marietta","GA","40078","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","3817","Atlanta, GA","5100112","78","CB","Commuter Bus","PT","10","61",,"20",,"81",,"337085",,"150075",,"0",,"0",
"City of Colorado Springs, dba: Mountain Metropolitan Transit","Colorado Springs","CO","80005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","18856","Colorado Springs, CO","632494","101","DR","Demand Response","PT","34","44",,"24",,"68",,"1066770",,"926364",,"0",,"0",
"City of Colorado Springs, dba: Mountain Metropolitan Transit","Colorado Springs","CO","80005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","18856","Colorado Springs, CO","632494","101","MB","Bus","PT","58","792",,"138",,"930",,"3142753",,"2961384",,"0",,"0",
"City of Colorado Springs, dba: Mountain Metropolitan Transit","Colorado Springs","CO","80005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","18856","Colorado Springs, CO","632494","101","VP","Vanpool","DO","6","0",,"0",,"0",,"129688",,"129688",,"0",,"0",
"City of Columbia, dba: GoCOMO","Columbia","MO","70016","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","18937","Columbia, MO","141831","27","DR","Demand Response","DO","15","28",,"11",,"39",,"288102",,"262456",,"0",,"0",
"City of Columbia, dba: GoCOMO","Columbia","MO","70016","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","18937","Columbia, MO","141831","27","MB","Bus","DO","12","43",,"220",,"263",,"239018",,"221864",,"0",,"0",
"City of Longview, dba: RiverCities Transit","Longview","WA","00016","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","51283","Longview, WA--OR","69841","21","DR","Demand Response","PT","10","9",,"3",,"12",,"143371",,"129018",,"0",,"0",
"City of Longview, dba: RiverCities Transit","Longview","WA","00016","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","51283","Longview, WA--OR","69841","21","MB","Bus","DO","10","16",,"20",,"36",,"368165",,"357130",,"0",,"0",
"City of Longview, dba: RiverCities Transit","Longview","WA","00016","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","51283","Longview, WA--OR","69841","21","CB","Commuter Bus","DO","1","0",,"0",,"0",,"6894",,"6700",,"0",,"0",
"Connecticut Department of Transportation","Newington","CT","10102","State Government Unit or Department of Transportation","Full Reporter","2023","37243","Hartford, CT","977158","29","CR","Commuter Rail","PT","12","2",,"9",,"11",,"1533819",,"1484319",,"386983",,"374233",
"Connecticut Department of Transportation","Newington","CT","10102","State Government Unit or Department of Transportation","Full Reporter","2023","37243","Hartford, CT","977158","29","CB","Commuter Bus","PT","17","0",,"1",,"1",,"1108975",,"850361",,"0",,"0",
"Connecticut Department of Transportation - CTTRANSIT - Hartford Division, dba: CTTransit","Hartford","CT","10048","State Government Unit or Department of Transportation","Full Reporter","2023","37243","Hartford, CT","977158","218","MB","Bus","DO","209","108",,"2159",,"2267",,"9740053",,"8701904","Q","0",,"0",
"Connecticut Department of Transportation - CTTRANSIT - Hartford Division, dba: CTTransit","Hartford","CT","10048","State Government Unit or Department of Transportation","Full Reporter","2023","37243","Hartford, CT","977158","218","RB","Bus Rapid Transit","DO","9","22",,"384",,"406",,"711866",,"649869","Q","0",,"0",
"Connecticut Department of Transportation - CTTRANSIT New Haven Division, dba: CTTransit","Hartford","CT","10055","State Government Unit or Department of Transportation","Full Reporter","2023","62407","New Haven, CT","561456","99","MB","Bus","DO","99","131",,"1114",,"1245",,"4897269",,"4466488",,"0",,"0",
"Connecticut Department of Transportation - CTTRANSIT Stamford Division, dba: CTTransit","Hartford","CT","10056","State Government Unit or Department of Transportation","Full Reporter","2023","10162","Bridgeport--Stamford, CT--NY","916408","42","MB","Bus","DO","42","70",,"600",,"670",,"1624063",,"1549293",,"0",,"0",
"Cooperative Alliance for Seacoast Transportation","Dover","NH","10086","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","24607","Dover--Rochester, NH--ME","72391","23","DR","Demand Response","DO","12","2",,"10",,"12",,"260453",,"208540",,"0",,"0",
"Cooperative Alliance for Seacoast Transportation","Dover","NH","10086","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","24607","Dover--Rochester, NH--ME","72391","23","MB","Bus","DO","11","44",,"79",,"123",,"636028",,"574321",,"0",,"0",
"City of Coralville, dba: Coralville Transit System","Coralville","IA","70030","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","41590","Iowa City, IA","126810","7","MB","Bus","DO","7","9",,"23",,"32",,"205407",,"196431",,"0",,"0",
"Corpus Christi Regional Transportation Authority, dba: The B","Corpus Christi","TX","60051","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","20287","Corpus Christi, TX","339066","117","DR","Demand Response","PT","28","31",,"36",,"67",,"1386203",,"1244915",,"0",,"0",
"Corpus Christi Regional Transportation Authority, dba: The B","Corpus Christi","TX","60051","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","20287","Corpus Christi, TX","339066","117","MB","Bus","DO","42","4",,"2",,"6",,"2463548",,"2212372",,"0",,"0",
"Corpus Christi Regional Transportation Authority, dba: The B","Corpus Christi","TX","60051","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","20287","Corpus Christi, TX","339066","117","MB","Bus","PT","15","36",,"46",,"82",,"792190",,"691256",,"0",,"0",
"Corpus Christi Regional Transportation Authority, dba: The B","Corpus Christi","TX","60051","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","20287","Corpus Christi, TX","339066","117","VP","Vanpool","PT","32","0",,"0",,"0",,"1091955",,"1091955",,"0",,"0",
"County of Lackawanna Transit System","Scranton","PA","30025","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","80227","Scranton, PA","366713","75","DR","Demand Response","DO","26","6",,"10",,"16",,"788590",,"655149",,"0",,"0",
"County of Lackawanna Transit System","Scranton","PA","30025","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","80227","Scranton, PA","366713","75","DR","Demand Response","PT","15","0",,"5",,"5",,"124577",,"104300",,"0",,"0",
"County of Lackawanna Transit System","Scranton","PA","30025","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","80227","Scranton, PA","366713","75","MB","Bus","DO","29","3",,"3",,"6",,"1042900",,"917306",,"0",,"0",
"County of Lackawanna Transit System","Scranton","PA","30025","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","80227","Scranton, PA","366713","75","MB","Bus","PT","5","4",,"5",,"9",,"219603",,"193311",,"0",,"0",
"County of Volusia, dba: VOTRAN","Daytona Beach","FL","40032","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","22612","Daytona Beach--Palm Coast--Port Orange, FL","402126","148","DR","Demand Response","DO","52","47",,"41",,"88",,"1557039",,"1329137",,"0",,"0",
"County of Volusia, dba: VOTRAN","Daytona Beach","FL","40032","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","22612","Daytona Beach--Palm Coast--Port Orange, FL","402126","148","DR","Demand Response","PT","16","0",,"1",,"1",,"418475",,"390197",,"0",,"0",
"County of Volusia, dba: VOTRAN","Daytona Beach","FL","40032","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","22612","Daytona Beach--Palm Coast--Port Orange, FL","402126","148","MB","Bus","DO","59","487",,"432",,"919",,"2846990",,"2654991",,"0",,"0",
"County of Volusia, dba: VOTRAN","Daytona Beach","FL","40032","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","22612","Daytona Beach--Palm Coast--Port Orange, FL","402126","148","VP","Vanpool","PT","10","0",,"0",,"0",,"215548",,"215548",,"0",,"0",
"City of Culver City, dba: Culver CityBus","Culver City","CA","90039","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","41","DR","Demand Response","DO","2","1",,"13",,"14",,"13402",,"7298",,"0",,"0",
"City of Culver City, dba: Culver CityBus","Culver City","CA","90039","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","41","MB","Bus","DO","39","25",,"144",,"169",,"1435494",,"1324701",,"0",,"0",
"Dallas Area Rapid Transit","Dallas","TX","60056","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","22042","Dallas--Fort Worth--Arlington, TX","5732354","783","CR","Commuter Rail","PT","23","28",,"0",,"28",,"1809790",,"1195239",,"588887",,"578990",
"Dallas Area Rapid Transit","Dallas","TX","60056","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","22042","Dallas--Fort Worth--Arlington, TX","5732354","783","DR","Demand Response","PT","193","20",,"225",,"245",,"11331810",,"9898736",,"0",,"0",
"Dallas Area Rapid Transit","Dallas","TX","60056","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","22042","Dallas--Fort Worth--Arlington, TX","5732354","783","LR","Light Rail","DO","75","37",,"21",,"58",,"10319166",,"10221270",,"5636066",,"5580957",
"Dallas Area Rapid Transit","Dallas","TX","60056","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","22042","Dallas--Fort Worth--Arlington, TX","5732354","783","MB","Bus","DO","465","1878",,"1004",,"2882",,"28013673",,"24800432",,"0",,"0",
