NTD ID,Mode,Type of Service,Agency,City,State,Legacy NTD ID,Organization Type,Reporter Type,Primary UZA Population,Agency VOMS,Mode VOMS,Major Mechanical Failures,Major Mechanical Failures Questionable,Other Mechanical Failures,Other Mechanical Failures Questionable,Total Mechanical Failures,Total Mechanical Failures Questionable,Vehicle/Passenger Car Miles,Vehicle/Passenger Car Miles Questionable,Vehicle/Passenger Car Revenue Miles,Vehicle/Passenger Car Revenue Miles Questionable,Train Miles,Train Miles Questionable,Train Revenue Miles,Train Revenue Miles Questionable,Any Data Questionable?,Mean Miles Between Breakdowns,Rank,"Rank, 10 Biggest"
50166,MB,DO,Clermont Transportation Connection,Batavia,OH,5166,"City, County or Local Government Unit or Department of Transportation",Full Reporter,1624827,35,6,2,NA,1,NA,3,NA,212984,NA,116578,NA,0,NA,0,NA,No,38859.333333333336,45,NA
90088,MB,PT,Napa Valley Transportation Authority,Napa,CA,9088,Independent Public Agency or Authority of Transit Service,Full Reporter,83913,34,11,5,NA,8,NA,13,NA,537672,NA,501655,NA,0,NA,0,NA,No,38588.846153846156,46,NA
40208,MB,DO,Clemson Area Transit,Clemson,SC,4208,"City, County or Local Government Unit or Department of Transportation",Full Reporter,400492,18,18,9,NA,7,NA,16,NA,605339,NA,605339,NA,0,NA,0,NA,No,37833.6875,47,NA
90164,MB,PT,Ventura County Transportation Commission,Camarillo,CA,9164,Independent Public Agency or Authority of Transit Service,Full Reporter,367260,45,5,3,NA,0,NA,3,NA,116141,NA,112233,NA,0,NA,0,NA,No,37411,48,NA
10013,MB,PT,Merrimack Valley Regional Transit Authority,Haverhill,MA,1013,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,61,39,30,NA,9,NA,39,NA,1737419,NA,1450213,NA,0,NA,0,NA,No,37184.94871794872,49,NA
90007,MB,PT,Modesto Area Express,Modesto,CA,9007,"City, County or Local Government Unit or Department of Transportation",Full Reporter,358172,72,49,58,NA,1,NA,59,NA,2228854,NA,2186289,NA,0,NA,0,NA,No,37055.745762711864,50,NA
40063,MB,DO,Space Coast Area Transit,Titusville,FL,4063,"City, County or Local Government Unit or Department of Transportation",Full Reporter,452791,84,35,25,NA,30,NA,55,NA,2078761,NA,2028612,NA,0,NA,0,NA,No,36883.854545454546,51,NA
90208,MB,PT,Butte County Association of Governments,Chico,CA,9208,"MPO, COG or Other Planning Agency",Full Reporter,98176,37,25,24,NA,2,NA,26,NA,1106440,NA,937114,NA,0,NA,0,NA,No,36042.846153846156,52,NA
60051,MB,DO,The B,Corpus Christi,TX,6051,Independent Public Agency or Authority of Transit Service,Full Reporter,320069,114,42,42,NA,21,NA,63,NA,2456732,NA,2193581,NA,0,NA,0,NA,No,34818.74603174603,53,NA
30088,MB,PT,"County Commissioners of Charles County, MD",La Plata,MD,3088,"City, County or Local Government Unit or Department of Transportation",Full Reporter,109919,27,17,17,NA,23,NA,40,NA,1348344,NA,1300738,NA,0,NA,0,NA,No,32518.45,54,NA
20,MB,DO,Kitsap Transit,Bremerton,WA,20,Independent Public Agency or Authority of Transit Service,Full Reporter,198979,213,94,30,NA,33,NA,63,NA,2463025,NA,2036360,NA,0,NA,0,NA,No,32323.174603174604,55,NA
90062,MB,DO,Monterey-Salinas Transit,Monterey,CA,9062,Independent Public Agency or Authority of Transit Service,Full Reporter,114237,84,38,60,NA,8,NA,68,NA,2384247,NA,2192659,NA,0,NA,0,NA,No,32244.985294117647,56,NA
70006,MB,DO,(St. Louis) Metro,Saint Louis,MO,7006,Independent Public Agency or Authority of Transit Service,Full Reporter,2150706,461,317,333,NA,130,NA,463,NA,17105899,NA,14637340,NA,0,NA,0,NA,No,31614.1252699784,57,NA
10003,MB,DO,Massachusetts Bay Transportation Authority,Boston,MA,1003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,2252,775,433,NA,204,NA,637,NA,22409176,NA,19793493,NA,0,NA,0,NA,No,31072.9874411303,58,NA
50040,MB,DO,Ann Arbor Area Transportation Authority,Ann Arbor,MI,5040,Independent Public Agency or Authority of Transit Service,Full Reporter,306022,227,75,43,NA,35,NA,78,NA,2548378,NA,2380672,NA,0,NA,0,NA,No,30521.4358974359,59,NA
90087,MB,PT,Santa Maria Area Transit,Santa Maria,CA,9087,"City, County or Local Government Unit or Department of Transportation",Full Reporter,130447,20,15,2,NA,18,NA,20,NA,650191,NA,601899,NA,0,NA,0,NA,No,30094.95,60,NA
16,MB,DO,RiverCities Transit,Longview,WA,16,"City, County or Local Government Unit or Department of Transportation",Full Reporter,63952,19,9,7,NA,3,NA,10,NA,306790,NA,298689,NA,0,NA,0,NA,No,29868.9,61,NA
40053,MB,DO,Greenville Transit Authority,Greenville,SC,4053,Independent Public Agency or Authority of Transit Service,Full Reporter,400492,22,17,27,NA,4,NA,31,NA,943562,NA,925893,NA,0,NA,0,NA,No,29867.516129032258,62,NA
40093,MB,PT,Greensboro Transit Authority,Greensboro,NC,4093,"City, County or Local Government Unit or Department of Transportation",Full Reporter,311810,76,41,22,NA,44,NA,66,NA,2027355,NA,1967030,NA,0,NA,0,NA,No,29803.484848484848,63,NA
40029,MB,PT,Broward County Transit Division,Fort Lauderdale,FL,4029,"City, County or Local Government Unit or Department of Transportation",Full Reporter,5502379,461,7,8,NA,0,NA,8,NA,319144,NA,236850,NA,0,NA,0,NA,No,29606.25,64,NA
90016,MB,DO,"Golden Gate Bridge, Highway and Transportation District",San Francisco,CA,9016,Independent Public Agency or Authority of Transit Service,Full Reporter,3281212,107,94,17,NA,65,NA,82,NA,2830074,NA,2404033,NA,0,NA,0,NA,No,29317.475609756097,65,NA
90213,MB,PT,Petaluma Transit,Petaluma,CA,9213,"City, County or Local Government Unit or Department of Transportation",Full Reporter,64078,12,9,4,NA,4,NA,8,NA,241365,NA,231806,NA,0,NA,0,NA,No,28975.75,66,NA
60095,MB,DO,Golden Crescent Regional Planning Commission,Victoria,TX,6095,"MPO, COG or Other Planning Agency",Full Reporter,63683,35,10,7,NA,5,NA,12,NA,358435,Q,346236,NA,0,NA,0,NA,Yes,28853,67,NA
90061,MB,PT,Yuba-Sutter Transit Authority,Marysville,CA,9061,Independent Public Agency or Authority of Transit Service,Full Reporter,116719,31,14,11,NA,8,NA,19,NA,575535,NA,543320,NA,0,NA,0,NA,No,28595.78947368421,68,NA
80011,MB,PT,Transfort,Fort Collins,CO,8011,"City, County or Local Government Unit or Department of Transportation",Full Reporter,264465,49,2,3,NA,0,NA,3,NA,93258,NA,85697,NA,0,NA,0,NA,No,28565.666666666668,69,NA
25,MB,PT,Salem-Keizer Transit or Cherriots,Salem,OR,25,Independent Public Agency or Authority of Transit Service,Full Reporter,236632,116,8,12,NA,2,NA,14,NA,453990,NA,396231,NA,0,NA,0,NA,No,28302.214285714286,70,NA
50009,MB,DO,GO Transit,Oshkosh,WI,5009,"City, County or Local Government Unit or Department of Transportation",Full Reporter,74495,40,9,7,NA,10,NA,17,NA,491829,NA,470601,NA,0,NA,0,NA,No,27682.41176470588,71,NA
50145,MB,DO,City of Kokomo,Kokomo,IN,5145,"City, County or Local Government Unit or Department of Transportation",Full Reporter,62182,31,5,2,NA,4,NA,6,NA,170034,NA,165840,NA,0,NA,0,NA,No,27640,72,NA
90159,MB,PT,Western Contra Costa Transit Authority,Pinole,CA,9159,Independent Public Agency or Authority of Transit Service,Full Reporter,3281212,24,15,5,NA,25,NA,30,NA,845103,NA,797867,NA,0,NA,0,NA,No,26595.566666666666,73,NA
60102,MB,DO,Concho Valley Transit District,San Angelo,TX,6102,Independent Public Agency or Authority of Transit Service,Full Reporter,92984,38,8,2,NA,13,NA,15,NA,395323,NA,395323,NA,0,NA,0,NA,No,26354.866666666665,74,NA
19,MB,DO,Intercity Transit,Olympia,WA,19,Independent Public Agency or Authority of Transit Service,Full Reporter,176617,233,47,58,NA,34,NA,92,NA,2440259,NA,2342918,NA,0,NA,0,NA,No,25466.5,75,NA
50176,MB,PT,City of DeKalb,Dekalb,IL,5176,"City, County or Local Government Unit or Department of Transportation",Full Reporter,68545,32,18,4,NA,21,NA,25,NA,664379,NA,636276,NA,0,NA,0,NA,No,25451.04,76,NA
50148,MB,DO,Blue Water Area Transit,Port Huron,MI,5148,Independent Public Agency or Authority of Transit Service,Full Reporter,87106,202,9,11,NA,4,NA,15,NA,386628,NA,377246,NA,0,NA,0,NA,No,25149.733333333334,77,NA
30087,MB,DO,Fayette Area Coordinated Transportation,Uniontown,PA,3087,"City, County or Local Government Unit or Department of Transportation",Full Reporter,51370,28,10,6,NA,11,NA,17,NA,448262,NA,423619,NA,0,NA,0,NA,No,24918.764705882353,78,NA
40082,MB,PT,Connect Douglas,Douglasville,GA,4082,"City, County or Local Government Unit or Department of Transportation",Full Reporter,4515419,15,6,7,NA,7,NA,14,NA,362277,NA,347581,NA,0,NA,0,NA,No,24827.214285714286,79,NA
50028,MB,DO,Metro Bus,Saint Cloud,MN,5028,Independent Public Agency or Authority of Transit Service,Full Reporter,110621,52,30,31,NA,12,NA,43,NA,1118801,NA,1060897,NA,0,NA,0,NA,No,24672.023255813954,80,NA
90162,MB,PT,Tri Delta Transit,Antioch,CA,9162,Independent Public Agency or Authority of Transit Service,Full Reporter,277634,84,50,45,NA,18,NA,63,NA,1773569,NA,1534545,NA,0,NA,0,NA,No,24357.85714285714,81,NA
46,MB,DO,South Metro Area Regional Transit,Wilsonville,OR,46,"City, County or Local Government Unit or Department of Transportation",Full Reporter,1849898,19,13,9,NA,14,NA,23,NA,585791,NA,557026,NA,0,NA,0,NA,No,24218.521739130436,82,NA
90009,MB,DO,San Mateo County Transit District,San Carlos,CA,9009,Independent Public Agency or Authority of Transit Service,Full Reporter,3281212,303,149,155,NA,5,NA,160,NA,4904742,NA,3848389,NA,0,NA,0,NA,No,24052.43125,83,NA
10005,MB,PT,Lowell Regional Transit Authority,Lowell,MA,1005,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,67,42,40,NA,9,NA,49,NA,1220083,NA,1174439,NA,0,NA,0,NA,No,23968.14285714286,84,NA
40108,MB,PT,GoTriangle,Durham,NC,4108,Independent Public Agency or Authority of Transit Service,Full Reporter,347602,91,10,7,NA,4,NA,11,NA,327159,NA,259473,NA,0,NA,0,NA,No,23588.454545454544,85,NA
20010,MB,DO,Dutchess County Public Transit,Poughkeepsie,NY,2010,"City, County or Local Government Unit or Department of Transportation",Full Reporter,423566,52,37,45,NA,7,NA,52,NA,1255936,NA,1220971,NA,0,NA,0,NA,No,23480.21153846154,86,NA
20096,MB,PT,Putnam Area Rapid Transit,Carmel,NY,2096,"City, County or Local Government Unit or Department of Transportation",Full Reporter,18351295,13,7,16,NA,3,NA,19,NA,476740,NA,445122,NA,0,NA,0,NA,No,23427.473684210527,87,NA
20166,MB,DO,"Orange-Newark-Elizabeth, Inc.",Elizabeth,NJ,2166,Private-For-Profit Corporation,Full Reporter,18351295,36,36,7,NA,28,NA,35,NA,944254,NA,815381,NA,0,NA,0,NA,No,23296.6,88,NA
43,MB,DO,Link Transit,Wenatchee,WA,43,Independent Public Agency or Authority of Transit Service,Full Reporter,67227,51,31,36,NA,55,NA,91,NA,2222828,NA,2106421,NA,0,NA,0,NA,No,23147.483516483517,89,NA
90196,MB,PT,Placer County Department of Public Works,Auburn,CA,9196,"City, County or Local Government Unit or Department of Transportation",Full Reporter,1723634,34,2,0,NA,3,NA,3,NA,72396,NA,68839,NA,0,NA,0,NA,No,22946.333333333332,90,NA
30025,MB,PT,County of Lackawanna Transit System,Scranton,PA,3025,Independent Public Agency or Authority of Transit Service,Full Reporter,381502,73,6,4,NA,2,NA,6,NA,146578,NA,135512,NA,0,NA,0,NA,No,22585.333333333332,91,NA
10061,MB,PT,Montachusett Regional Transit Authority,Fitchburg,MA,1061,Independent Public Agency or Authority of Transit Service,Full Reporter,116960,403,22,21,NA,12,NA,33,NA,741628,NA,721872,NA,0,NA,0,NA,No,21874.909090909092,92,NA
40110,MB,PT,Charleston Area Regional Transportation Authority,North Charleston,SC,4110,Independent Public Agency or Authority of Transit Service,Full Reporter,548404,77,52,89,NA,19,NA,108,NA,2589304,NA,2325057,NA,0,NA,0,NA,No,21528.305555555555,93,NA
50021,MB,DO,Portage Area Regional Transportation Authority,Kent,OH,5021,Independent Public Agency or Authority of Transit Service,Full Reporter,569499,36,17,31,NA,1,NA,32,NA,705203,NA,669016,NA,0,NA,0,NA,No,20906.75,94,NA
10051,MB,DO,Housatonic Area Regional Transit,Danbury,CT,1051,Independent Public Agency or Authority of Transit Service,Full Reporter,168136,43,29,16,NA,29,NA,45,NA,1060810,NA,926362,NA,0,NA,0,NA,No,20585.82222222222,95,NA
90017,MB,DO,City of Santa Rosa,Santa Rosa,CA,9017,"City, County or Local Government Unit or Department of Transportation",Full Reporter,308231,25,17,24,NA,5,NA,29,NA,618210,NA,596654,NA,0,NA,0,NA,No,20574.275862068964,96,NA
60059,MB,DO,Brazos Transit District,Bryan,TX,6059,Independent Public Agency or Authority of Transit Service,Full Reporter,171345,65,17,36,NA,10,NA,46,NA,960859,NA,925259,NA,0,NA,0,NA,No,20114.32608695652,97,NA
90144,MB,PT,Livermore / Amador Valley Transit Authority,Livermore,CA,9144,Independent Public Agency or Authority of Transit Service,Full Reporter,615968,40,33,36,NA,14,NA,50,NA,1086990,NA,998047,NA,0,NA,0,NA,No,19960.94,98,NA
90196,MB,DO,Placer County Department of Public Works,Auburn,CA,9196,"City, County or Local Government Unit or Department of Transportation",Full Reporter,1723634,34,15,33,NA,25,NA,58,NA,1318518,NA,1156691,NA,0,NA,0,NA,No,19942.94827586207,99,NA
60016,MB,PT,Beaumont Municipal Transit System,Beaumont,TX,6016,"City, County or Local Government Unit or Department of Transportation",Full Reporter,147922,19,12,11,NA,24,NA,35,NA,713658,NA,695235,NA,0,NA,0,NA,No,19863.85714285714,100,NA
90090,MB,PT,Yolo County Transportation District,Woodland,CA,9090,Independent Public Agency or Authority of Transit Service,Full Reporter,1723634,41,32,26,NA,51,NA,77,NA,1748176,NA,1501845,NA,0,NA,0,NA,No,19504.48051948052,101,NA
40019,MB,DO,Transit Authority of Northern Kentucky,Covington,KY,4019,Independent Public Agency or Authority of Transit Service,Full Reporter,1624827,123,97,107,NA,37,NA,144,NA,3541506,NA,2796622,NA,0,NA,0,NA,No,19420.98611111111,102,NA
30111,MB,PT,Freedom Transit,Washington,PA,3111,Independent Public Agency or Authority of Transit Service,Full Reporter,1733853,47,7,12,NA,3,NA,15,NA,339368,NA,289976,NA,0,NA,0,NA,No,19331.733333333334,103,NA
50043,MB,DO,METS,Evansville,IN,5043,"City, County or Local Government Unit or Department of Transportation",Full Reporter,229351,27,17,18,NA,33,NA,51,NA,1008370,NA,976948,NA,0,NA,0,NA,No,19155.843137254902,104,NA
90200,MB,PT,Kings County Area Public Transit Agency,Hanford,CA,9200,Independent Public Agency or Authority of Transit Service,Full Reporter,87941,51,16,35,NA,3,NA,38,NA,729272,NA,718693,NA,0,NA,0,NA,No,18912.973684210527,105,NA
90234,MB,PT,Marin County Transit District,San Rafael,CA,9234,Independent Public Agency or Authority of Transit Service,Full Reporter,3281212,74,56,102,NA,46,NA,148,NA,3242346,NA,2792082,NA,0,NA,0,NA,No,18865.41891891892,106,NA
50096,MB,DO,Waukesha Metro Transit,Waukesha,WI,5096,"City, County or Local Government Unit or Department of Transportation",Full Reporter,1376476,32,15,6,NA,28,NA,34,NA,664779,NA,628936,NA,0,NA,0,NA,No,18498.117647058825,107,NA
40027,MB,DO,Pinellas Suncoast Transit Authority,Saint Petersburg,FL,4027,Independent Public Agency or Authority of Transit Service,Full Reporter,2441770,320,177,410,NA,67,NA,477,NA,9849088,NA,8751782,NA,0,NA,0,NA,No,18347.55136268344,108,NA
20113,MB,DO,RTS Monroe (MB) and RTS Access (DR),Rochester,NY,2113,Independent Public Agency or Authority of Transit Service,Full Reporter,720572,226,177,200,NA,50,NA,250,NA,4886303,NA,4585257,NA,0,NA,0,NA,No,18341.028,109,NA
30011,MB,DO,AMTRAN,Altoona,PA,3011,Independent Public Agency or Authority of Transit Service,Full Reporter,79930,34,21,19,NA,10,NA,29,NA,532031,NA,529575,NA,0,NA,0,NA,No,18261.206896551725,110,NA
50015,MB,DO,The Greater Cleveland Regional Transit Authority,Cleveland,OH,5015,Independent Public Agency or Authority of Transit Service,Full Reporter,1780673,356,213,656,NA,46,NA,702,NA,13803919,NA,12404462,NA,0,NA,0,NA,No,17670.17378917379,111,NA
60012,MB,DO,"Waco Transit System, Inc.",Waco,TX,6012,"City, County or Local Government Unit or Department of Transportation",Full Reporter,172378,30,16,7,NA,35,NA,42,NA,747906,NA,740866,NA,0,NA,0,NA,No,17639.666666666668,112,NA
70012,MB,DO,Sioux City Transit System,Sioux City,IA,7012,"City, County or Local Government Unit or Department of Transportation",Full Reporter,106494,30,22,31,NA,3,NA,34,NA,621277,NA,598991,NA,0,NA,0,NA,No,17617.382352941175,113,NA
40036,MB,PT,StarMetro,Tallahassee,FL,4036,"City, County or Local Government Unit or Department of Transportation",Full Reporter,240223,107,2,1,NA,2,NA,3,NA,61976,NA,52578,NA,0,NA,0,NA,No,17526,114,NA
11,MB,PT,Valley Regional Transit,Meridian,ID,11,Independent Public Agency or Authority of Transit Service,Full Reporter,349684,68,38,37,NA,44,NA,81,NA,1608272,NA,1417090,NA,0,NA,0,NA,No,17494.938271604937,115,NA
40140,MB,PT,Collier Area Transit,Naples,FL,4140,"City, County or Local Government Unit or Department of Transportation",Full Reporter,310298,43,23,73,NA,9,NA,82,NA,1522872,NA,1422532,NA,0,NA,0,NA,No,17347.951219512193,116,NA
90032,MB,PT,Valley Metro,Phoenix,AZ,9032,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3629114,542,421,1096,NA,77,NA,1173,NA,24441949,NA,20170874,NA,0,NA,0,NA,No,17195.971014492752,117,NA
60017,MB,DO,EMBARK,Oklahoma City,OK,6017,"City, County or Local Government Unit or Department of Transportation",Full Reporter,861505,71,49,96,NA,93,NA,189,NA,3182379,NA,3147257,NA,0,NA,0,NA,No,16652.15343915344,118,NA
60090,MB,DO,Lower Rio Grande Valley Development Council,Weslaco,TX,6090,"MPO, COG or Other Planning Agency",Full Reporter,728825,35,26,0,NA,100,NA,100,NA,1741173,NA,1649191,NA,0,NA,0,NA,No,16491.91,119,NA
30071,MB,DO,City of Alexandria,Alexandria,VA,3071,"City, County or Local Government Unit or Department of Transportation",Full Reporter,4586770,78,67,110,NA,3,NA,113,NA,2068166,NA,1843660,NA,0,NA,0,NA,No,16315.575221238938,120,NA
80003,MB,PT,Metropolitan Area Transit,Fargo,ND,8003,"City, County or Local Government Unit or Department of Transportation",Full Reporter,176676,39,26,21,NA,38,NA,59,NA,981624,NA,951896,NA,0,NA,0,NA,No,16133.830508474577,121,NA
50515,MB,PT,University of Minnesota Transit,Minneapolis,MN,5218,University,Full Reporter,2650890,27,24,15,NA,15,NA,30,NA,497796,NA,476979,NA,0,NA,0,NA,No,15899.3,122,NA
90206,MB,DO,San Luis Obispo Regional Transit Authority,San Luis Obispo,CA,9206,Independent Public Agency or Authority of Transit Service,Full Reporter,59219,39,22,34,NA,42,NA,76,NA,1357345,NA,1183782,NA,0,NA,0,NA,No,15576.078947368422,123,NA
90031,MB,DO,Riverside Transit Agency,Riverside,CA,9031,Independent Public Agency or Authority of Transit Service,Full Reporter,1932666,196,95,227,NA,40,NA,267,NA,5112701,NA,4085599,NA,0,NA,0,NA,No,15301.868913857677,124,NA
20145,MB,DO,Tompkins Consolidated Area Transit,Ithaca,NY,2145,Private-Non-Profit Corporation,Full Reporter,53661,52,35,50,NA,43,NA,93,NA,1430538,NA,1416040,NA,0,NA,0,NA,No,15226.236559139785,125,NA
50001,MB,DO,Valley Transit,Appleton,WI,5001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,216154,61,21,45,NA,13,NA,58,NA,913467,NA,876589,NA,0,NA,0,NA,No,15113.603448275862,126,NA
50198,MB,DO,Medina County Public Transit,Medina,OH,5198,"City, County or Local Government Unit or Department of Transportation",Full Reporter,1780673,21,7,4,NA,10,NA,14,NA,253481,NA,211195,NA,0,NA,0,NA,No,15085.357142857143,127,NA
30075,MB,PT,Delaware Transit Corporation,Dover,DE,3075,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567,547,55,75,NA,39,NA,114,NA,1866070,NA,1706576,NA,0,NA,0,NA,No,14969.964912280702,128,NA
80006,MB,PT,Denver Regional Transportation District,Denver,CO,8006,Independent Public Agency or Authority of Transit Service,Full Reporter,2374203,913,194,221,NA,452,NA,673,NA,11323231,NA,10056987,NA,0,NA,0,NA,No,14943.517087667162,129,NA
18,MB,DO,Ben Franklin Transit,Richland,WA,18,Independent Public Agency or Authority of Transit Service,Full Reporter,210975,222,50,130,NA,85,NA,215,NA,3355021,NA,3205722,NA,0,NA,0,NA,No,14910.33488372093,130,NA
90001,MB,PT,Regional Transportation Commission of Washoe County,Reno,NV,9001,Independent Public Agency or Authority of Transit Service,Full Reporter,392141,360,55,135,NA,50,NA,185,NA,2903212,NA,2738153,NA,0,NA,0,NA,No,14800.827027027028,131,NA
40128,MB,PT,Emerald Coast Rider,Crestview,FL,4128,"City, County or Local Government Unit or Department of Transportation",Full Reporter,191917,42,10,11,NA,14,NA,25,NA,390660,NA,368176,NA,0,NA,0,NA,No,14727.04,132,NA
50044,MB,DO,Fort Wayne Public Transportation Corporation,Fort Wayne,IN,5044,Independent Public Agency or Authority of Transit Service,Full Reporter,313492,40,25,26,NA,68,NA,94,NA,1444501,NA,1369737,NA,0,NA,0,NA,No,14571.670212765957,133,NA
90078,MB,DO,COUNTY CONNECTION,Concord,CA,9078,Independent Public Agency or Authority of Transit Service,Full Reporter,615968,97,64,98,NA,44,NA,142,NA,2598450,NA,2068592,NA,0,NA,0,NA,No,14567.549295774648,134,NA
10128,MB,PT,Connecticut Department of Transportation- CTTransit Waterbury- NET,Watertown,CT,1128,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,194535,63,36,81,NA,2,NA,83,NA,1395281,NA,1201690,NA,0,NA,0,NA,No,14478.192771084337,135,NA
40051,MB,DO,Chapel Hill Transit,Chapel Hill,NC,4051,"City, County or Local Government Unit or Department of Transportation",Full Reporter,347602,65,51,85,NA,16,NA,101,NA,1616119,NA,1461750,NA,0,NA,0,NA,No,14472.772277227723,136,NA
50002,MB,DO,Green Bay Metro,Green Bay,WI,5002,"City, County or Local Government Unit or Department of Transportation",Full Reporter,206520,28,16,19,NA,32,NA,51,NA,737083,NA,736872,NA,0,NA,0,NA,No,14448.470588235294,137,NA
50036,MB,DO,Capital Area Transportation Authority,Lansing,MI,5036,Independent Public Agency or Authority of Transit Service,Full Reporter,313532,172,86,221,NA,3,NA,224,NA,3419552,NA,3210852,NA,0,NA,0,NA,No,14334.160714285714,138,NA
50154,MB,PT,Metropolitan Council,Minneapolis,MN,5154,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2650890,646,59,1,NA,199,NA,200,NA,3389417,NA,2852795,NA,0,NA,0,NA,No,14263.975,139,NA
40040,MB,DO,Jacksonville Transportation Authority,Jacksonville,FL,4040,Independent Public Agency or Authority of Transit Service,Full Reporter,1065219,227,125,109,NA,467,NA,576,NA,8679382,NA,8181569,NA,0,NA,0,NA,No,14204.112847222223,140,NA
20072,MB,PT,Dept of Public Works - Transportation Division,Yaphank,NY,2072,"City, County or Local Government Unit or Department of Transportation",Full Reporter,18351295,255,116,359,NA,150,NA,509,NA,7904171,NA,7217135,NA,0,NA,0,NA,No,14179.047151277015,141,NA
30019,MB,PT,Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567,2099,3,9,NA,0,NA,9,NA,152211,NA,127068,NA,0,NA,0,NA,No,14118.666666666666,142,NA
90009,MB,PT,San Mateo County Transit District,San Carlos,CA,9009,Independent Public Agency or Authority of Transit Service,Full Reporter,3281212,303,58,102,NA,41,NA,143,NA,2611192,NA,2018302,NA,0,NA,0,NA,No,14114,143,NA
30010,MB,DO,Lehigh and Northampton Transportation Authority,Allentown,PA,3010,Independent Public Agency or Authority of Transit Service,Full Reporter,664651,117,65,42,NA,186,NA,228,NA,3600272,NA,3156138,NA,0,NA,0,NA,No,13842.71052631579,144,NA
50099,MB,DO,Eau Claire Transit,Eau Claire,WI,5099,"City, County or Local Government Unit or Department of Transportation",Full Reporter,102852,42,16,20,NA,30,NA,50,NA,703994,NA,691700,NA,0,NA,0,NA,No,13834,145,NA
90201,MB,PT,Turlock Transit,Turlock,CA,9201,"City, County or Local Government Unit or Department of Transportation",Full Reporter,99904,11,9,21,NA,0,NA,21,NA,299592,NA,285143,NA,0,NA,0,NA,No,13578.238095238095,146,NA
50518,MB,PT,SouthWest Transit,Eden Prairie,MN,5221,Independent Public Agency or Authority of Transit Service,Full Reporter,2650890,34,20,10,NA,17,NA,27,NA,616032,NA,364237,NA,0,NA,0,NA,No,13490.25925925926,147,NA
21,MB,DO,Whatcom Transportation Authority,Bellingham,WA,21,Independent Public Agency or Authority of Transit Service,Full Reporter,114473,94,46,130,NA,11,NA,141,NA,2033665,NA,1895487,NA,0,NA,0,NA,No,13443.170212765957,148,NA
90089,MB,PT,Sonoma County Transit,Santa Rosa,CA,9089,"City, County or Local Government Unit or Department of Transportation",Full Reporter,308231,44,27,73,NA,10,NA,83,NA,1376915,NA,1104696,NA,0,NA,0,NA,No,13309.590361445784,149,NA
70018,MB,DO,Iowa City Transit,Iowa City,IA,7018,"City, County or Local Government Unit or Department of Transportation",Full Reporter,106621,21,21,9,NA,43,NA,52,NA,716258,NA,689324,NA,0,NA,0,NA,No,13256.23076923077,150,NA
40043,MB,DO,THE WAVE TRANSIT SYSTEM,Mobile,AL,4043,"City, County or Local Government Unit or Department of Transportation",Full Reporter,326183,45,20,27,NA,53,NA,80,NA,1098228,NA,1058632,NA,0,NA,0,NA,No,13232.9,151,NA
90029,MB,PT,Omnitrans,San Bernardino,CA,9029,Independent Public Agency or Authority of Transit Service,Full Reporter,1932666,143,12,28,NA,8,NA,36,NA,525261,NA,475213,NA,0,NA,0,NA,No,13200.361111111111,152,NA
20080,MB,PT,New Jersey Transit Corporation,Newark,NJ,2080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295,3494,182,237,NA,313,NA,550,NA,8425377,NA,7259967,NA,0,NA,0,NA,No,13199.94,153,NA
40074,MB,DO,Pasco County Public Transportation,New Port Richey,FL,4074,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2441770,43,25,113,NA,8,NA,121,NA,1699623,NA,1589419,NA,0,NA,0,NA,No,13135.694214876034,154,NA
1,MB,PT,King County Metro,Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3059393,2350,41,50,NA,26,NA,76,NA,1179709,NA,994051,NA,0,NA,0,NA,No,13079.618421052632,155,NA
40087,MB,PT,GoDurham,Durham,NC,4087,"City, County or Local Government Unit or Department of Transportation",Full Reporter,347602,75,43,129,NA,87,NA,216,NA,3028152,NA,2809286,NA,0,NA,0,NA,No,13005.953703703704,156,NA
80006,MB,DO,Denver Regional Transportation District,Denver,CO,8006,Independent Public Agency or Authority of Transit Service,Full Reporter,2374203,913,286,492,NA,597,NA,1089,NA,16224898,NA,14132283,NA,0,NA,0,NA,No,12977.30303030303,157,NA
90045,MB,PT,Regional Transportation Commission of Southern Nevada,Las Vegas,NV,9045,Independent Public Agency or Authority of Transit Service,Full Reporter,1886011,523,230,898,NA,363,NA,1261,NA,17258711,NA,15987654,NA,0,NA,0,NA,No,12678.551942902459,158,NA
